Name,OsmId,Kind,HeightCm,BaseCm,HeightSource,CentroidX,CentroidY,BoxX,BoxY,BoxLengthCm,BoxWidthCm,YawDeg,AreaM2,NumVerts,Outline
B00128,265302016,yes,1840.0,0.0,tag:height,11090.3,-14729.3,11090.0,-14729.4,2495.2,609.3,209.0,151.92,4,9851.3 -15068.3|12033.4 -13858.1|12328.8 -14390.9|10146.7 -15600.3
B00129,265302020,yes,5800.0,0.0,tag:height,-15055.2,-6531.1,-15070.6,-6544.7,3050.6,1531.7,208.49,460.4,4,-16776.2 -6599.9|-14095.4 -5144.0|-13364.7 -6490.1|-15982.1 -7903.9
B00130,265302028,yes,6620.0,0.0,tag:height,17099.3,-9461.4,17099.4,-9461.2,2736.5,1646.8,28.9,450.46,4,15503.6 -9401.7|17898.9 -8080.0|18695.2 -9520.7|16299.9 -10843.2
B00131,265302040,yes,3660.0,0.0,tag:height,-12265.5,-5184.9,-12265.8,-5184.8,3002.6,1253.4,28.51,376.21,4,-13883.3 -5350.9|-11245.9 -3917.7|-10647.4 -5019.0|-13285.9 -6452.1
B00132,265302042,yes,4700.0,0.0,tag:height,-5692.5,-1247.8,-5797.9,-1253.0,3431.3,3012.8,29.02,972.64,6,-7681.3 -576.0|-5029.4 896.0|-3566.9 -1738.0|-6567.4 -3402.5|-7285.9 -2107.1|-6938.3 -1914.5
B00133,265302043,yes,8870.0,0.0,tag:height,8031.4,7003.5,8033.3,7005.1,2672.9,1935.3,208.67,516.24,4,6396.5 7212.8|8733.0 8490.5|9670.2 6797.3|7324.8 5515.4
B00134,265302050,yes,1790.0,0.0,tag:height,12776.9,-7874.1,12777.2,-7874.1,3298.8,682.1,208.89,224.89,4,11168.3 -8372.3|14056.6 -6778.7|14385.3 -7375.7|11498.1 -8969.3
B00135,265302060,parking,1150.0,0.0,tag:height,-20394.0,-11228.1,-19720.0,-11203.1,5948.0,3588.4,208.73,1524.32,6,-23190.3 -11059.1|-17974.4 -8200.3|-17249.2 -9524.5|-19822.2 -10934.1|-18822.7 -12757.4|-21465.7 -14205.8
B00136,265302061,yes,1300.0,0.0,tag:height,14362.7,-4291.9,13606.3,-3720.0,4457.3,3288.0,119.01,659.07,12,13249.3 -6466.2|13019.4 -6046.5|13790.1 -5620.9|12756.2 -3747.8|14606.3 -2720.1|14700.7 -2473.5|13987.7 -1185.7|13721.2 -1108.0|13966.6 -979.6|16076.6 -4784.8|13454.7 -6231.5|13504.7 -6321.8
B00137,265302071,yes,6140.0,0.0,tag:height,-1249.4,3349.4,-1156.5,3700.6,8130.6,6249.9,299.01,4575.56,9,-192.1 5141.3|1179.4 5901.4|3548.0 1661.1|-1917.8 -1369.8|-5656.8 5371.9|-5488.0 5947.0|-1506.9 8154.5|-1119.3 7454.4|-1391.4 7303.3
