Name,OsmId,Class,RoadName,WidthCm,LengthCm,Layer,NumPoints,Points
R00028,702073794,pedestrian,,500.0,4341.0,0,5,13222.7 7511.7|12799.6 8274.3|11625.8 7618.1|12128.8 6904.5|13222.7 7511.7
R00029,702073804,pedestrian,,500.0,9823.4,0,19,19469.1 3187.9|18193.2 2478.6|17892.2 3023.2|17647.9 2887.3|17948.9 2342.6|17002.7 1815.6|16701.8 2361.2|16458.6 2226.9|16758.4 1680.5|16537.4 1552.2|16607.4 1423.8|16687.4 1470.2|16729.6 1400.2|17182.6 1648.4|17146.0 1712.6|17229.3 1759.1|17270.4 1689.8|19586.9 2981.9|19469.1 3187.9
R00030,702073805,pedestrian,,500.0,49459.2,0,63,21874.5 -9488.6|22719.6 -9732.6|25905.6 -7959.2|25553.6 -7321.6|25945.6 -7103.7|26067.7 -7325.8|26263.2 -7216.9|26370.9 -7411.1|26175.4 -7520.0|26297.6 -7741.3|26647.4 -7551.3|26801.7 -7846.8|22834.0 -10023.9|22892.8 -10129.5|22785.1 -10195.4|22651.9 -9971.6|21735.7 -9706.4|21003.9 -8381.5|20671.8 -8527.5|20593.0 -8384.8|20495.3 -8206.6|20788.4 -7993.0|19556.9 -5761.9|19250.4 -5882.7|18589.6 -4685.2|18852.8 -4487.6|16589.6 -389.3|16202.1 -575.9|16053.3 -305.7|16414.2 -73.5|16323.1 91.2|16207.6 30.4|15801.2 790.4|16104.3 965.2|16612.9 37.2|17352.5 449.3|17526.9 132.6|16788.4 -278.7|17901.1 -2294.5|18640.7 -1883.2|18855.0 -2271.7|18115.4 -2682.9|18956.1 -4206.4|19695.7 -3794.2|19903.3 -4170.9|19669.0 -4301.8|19777.9 -4497.7|19506.9 -4648.9|19399.2 -4452.1|19164.9 -4583.0|19656.8 -5473.1|19891.1 -5343.0|19782.3 -5146.3|20053.3 -4995.9|20161.0 -5192.7|20396.4 -5061.8|20610.7 -5450.3|19871.2 -5861.5|20987.2 -7882.4|21726.8 -7471.1|21941.1 -7859.6|21201.5 -8270.8|21874.5 -9488.6
R00031,702073806,pedestrian,,500.0,49180.8,0,75,17739.0 663.8|18443.0 1056.4|18326.4 1265.9|18475.2 1348.6|18760.6 819.1|17913.3 347.9|19027.2 -1668.7|19874.5 -1196.6|20088.8 -1585.1|19241.5 -2056.3|20782.9 -4846.5|21630.2 -4375.2|21843.4 -4763.7|20996.1 -5234.9|22112.1 -7256.6|24719.6 -5791.4|24928.3 -6188.3|22896.1 -7324.1|22975.0 -7469.4|22623.0 -7667.0|22544.1 -7523.4|22327.6 -7644.2|22797.3 -8494.6|25371.4 -7047.1|25553.6 -7321.6|22950.6 -8771.6|23302.6 -9408.3|22916.2 -9623.7|22228.8 -8380.6|22104.4 -8449.8|21933.4 -8138.2|22056.6 -8069.0|21606.9 -7254.1|21482.5 -7323.3|21287.0 -6968.6|21413.6 -6897.7|21292.6 -6682.4|21166.0 -6751.6|20941.7 -6346.3|21066.0 -6275.3|20946.1 -6059.1|20821.7 -6128.4|20605.2 -5736.5|20729.6 -5666.5|20287.6 -4865.0|19548.0 -5277.2|19272.6 -4778.9|20012.2 -4367.6|19571.3 -3566.2|19446.9 -3636.3|19209.3 -3209.0|19333.7 -3138.9|19208.2 -2910.9|19082.7 -2981.0|18856.1 -2568.9|18980.5 -2499.7|18521.9 -1667.0|18396.4 -1736.3|18203.2 -1382.4|18328.7 -1311.5|18207.6 -1096.1|18083.2 -1166.2|17858.9 -759.2|17982.2 -690.8|17863.4 -474.6|17737.9 -543.8|17522.4 -152.9|17646.8 -83.6|17042.7 1008.3|16958.3 961.0|16765.1 1310.6|17321.4 1620.6|17514.7 1270.9|17430.3 1223.7|17739.0 663.8
R00032,702132138,pedestrian,,500.0,9230.3,0,19,11053.9 11393.9|10918.4 11654.0|10746.3 11557.7|10644.2 11742.6|10816.3 11838.9|10527.6 12362.5|10354.3 12267.1|10195.5 12553.4|10315.5 12620.1|9974.6 13241.6|9853.5 13174.1|9613.6 13608.1|9809.1 13716.2|9660.3 13968.7|8675.3 13424.1|8811.9 13161.4|9110.6 13327.8|10359.9 10994.4|11053.9 11393.9
R00033,858965315,residential,East 38th Street,800.0,14664.9,0,2,-14622.7 20071.7|-21732.7 32897.7
R00034,1036712190,secondary,West 37th Street,1000.0,3142.2,0,2,-2490.6 -18103.7|-971.4 -20854.2
R00035,1115300941,pedestrian,Fifth Avenue Tower Urban Plaza,500.0,9158.8,0,7,-2434.0 16210.3|181.2 17652.6|956.3 16247.4|140.1 15795.6|-30.9 16103.8|-1796.6 15121.7|-2434.0 16210.3
R00036,1150636501,residential,East 39th Street,800.0,5635.5,0,2,-2912.7 15283.0|-207.6 10339.2
R00037,1316295724,residential,East 41st Street,800.0,21755.0,0,3,13502.7 17900.6|6001.8 31427.1|3033.7 36970.5
R00038,1529537887,secondary,West 36th Street,1000.0,8143.0,0,2,-16840.6 -8110.8|-20791.7 -990.6
R00039,1530333337,secondary,Madison Avenue,1000.0,7886.1,0,2,-14622.7 20071.7|-7696.4 23842.2
R00040,1530333338,secondary,Madison Avenue,1000.0,7839.8,0,2,-21493.4 16296.0|-14622.7 20071.7
